# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 5.621098325809762,5.244032287682293,3.25472116181909,-91.10653676042638,1.0,0.0,-0.9216307339609034,-147.88775225806285,-52.82358263738002,-26.737896081414434
 5.629305574717047,5.243811708767172,3.246516877598737,-91.54007305130587,1.0,0.0,-0.9292446053896797,-148.10719682646013,-53.260547883211686,-26.97084008139595
 5.637507085572404,5.243528786215529,3.238320248099955,-91.97689001293227,1.0,0.0,-0.9370138194773606,-148.3283984641658,-53.706395246078685,-27.200387200786796
 5.645702695990214,5.243183153458353,3.230131929095563,-92.41704670531408,1.0,0.0,-0.9449370456379956,-148.55132224087703,-54.161047158735066,-27.426476834227604
 5.653892253651079,5.2427744439266375,3.221952576358377,-92.86060172399337,1.0,0.0,-0.9530128046630307,-148.7759329543453,-54.624417455837076,-27.64904660202124
 5.662075616529612,5.242302291051375,3.2137828456612154,-93.30761315406298,1.0,0.0,-0.961239458157704,-149.00219513593512,-55.09641076744038,-27.86803234074215
 5.670252653124941,5.241766328263557,3.2056233927768956,-93.75813852117962,1.0,0.0,-0.9696151981551593,-149.2300730562252,-55.576921919959155,-28.083368096049252
 5.678423242693834,5.2411661889941765,3.197474873478235,-94.21223473969002,1.0,0.0,-0.9781380361269278,-149.45953073065016,-56.06583530837157,-28.294986118111147
 5.68658727548639,5.240501506674226,3.18933794353805,-94.66995805768961,1.0,0.0,-0.9868057920717919,-149.69053192518334,-56.56302426803676,-28.502816859574104
 5.694744652984216,5.239771914734697,3.18121325872916,-95.13136399906266,1.0,0.0,-0.9956160831240083,-149.92304016205827,-57.06835041592081,-28.706788976574423
 5.7028952881409944,5.238977046606583,3.1731014748243815,-95.59650730230203,1.0,0.0,-1.0045663122260924,-150.15701872552896,-57.58166300504835,-28.906829332996082
 5.711039105625338,5.238116535720875,3.1650032475965317,-96.06544185626012,1.0,0.0,-1.0136536561420608,-150.39243066766795,-58.10279824069197,-29.10286300806258
 5.7191760420658175,5.237190015508567,3.156919232818429,-96.53822063255862,1.0,0.0,-1.0228750538396325,-150.62923881420053,-58.63157860631033,-29.2948133078281
 5.727306046298036,5.23619711940065,3.148850086262889,-97.01489561476959,1.0,0.0,-1.0322271945440913,-150.86740577037523,-59.16781217925584,-29.482601780600895
 5.735429079613607,5.235137480828117,3.1407964637027317,-97.49551772431114,1.0,0.0,-1.0417065053500427,-151.10689392686876,-59.711291932162524,-29.666148236700472
 5.743545116010888,5.234010733221959,3.132759020910773,-97.98013674296122,1.0,0.0,-1.0513091394250764,-151.34766546572496,-60.26179504011616,-29.84537077290895
 5.751654142447291,5.232816510013171,3.1247384136598306,-98.46880123204659,1.0,0.0,-1.0610309637505848,-151.5896823663267,-60.819082190215546,-30.02018580178369
 5.759756159092995,5.231554444632742,3.1167352977227227,-98.96155844832819,1.0,0.0,-1.0708675466694246,-151.8329064113999,-61.38289686734743,-30.190508086253935
 5.767851179585864,5.2302241705116685,3.1087503288722655,-99.458454256381,1.0,0.0,-1.0808141463273442,-152.07729919304825,-61.95296469555784,-30.35625077980465
 5.775939231287345,5.228825321080939,3.1007841628812773,-99.95953303789874,1.0,0.0,-1.0908656981259486,-152.32282211881844,-62.52899271723659,-30.517325472556763
 5.784020355539129,5.227357529771547,3.0928374555225755,-100.4648375973856,1.0,0.0,-1.1010168034976533,-152.5694364177943,-63.110668752447026,-30.673642243558188
 5.792094607920321,5.225820430014486,3.084910862568978,-100.97440906483867,1.0,0.0,-1.1112617181341196,-152.81710314671918,-63.69766073162409,-30.825109719674085
 5.800162058504857,5.224213655240747,3.077005039793301,-101.48828679514162,1.0,0.0,-1.121594340686275,-153.06578319614556,-64.28961605131268,-30.97163514134607
 5.808222792118885,5.222536838881323,3.0691206429683633,-102.00650826427936,1.0,0.0,-1.1320082022940567,-153.3154372966108,-64.88616097573576,-31.113124435582257
 5.816276908597813,5.220789614367206,3.0612583278669816,-102.52910896264844,1.0,0.0,-1.1424964558477624,-153.56602602483838,-65.4869000319017,-31.249482296512703
 5.824324523042706,5.218971615129389,3.053418750261974,-103.0561222852964,1.0,0.0,-1.1530518666726013,-153.8175098099632,-66.09141548098467,-31.380612273746312
 5.832365766075692,5.217082474598863,3.045602565926157,-103.58757941957307,1.0,0.0,-1.1636668030277015,-154.06984893978031,-66.69926677706036,-31.506416868988346
 5.8404007840940295,5.215121826206622,3.0378104306323492,-104.12350922993666,1.0,0.0,-1.174333228208402,-154.3230035670159,-67.30999012494588,-31.626797641034273
 5.848429739522457,5.213089303383657,3.030043000153368,-104.66393814053772,1.0,0.0,-1.1850426924371011,-154.57693371561965,-67.92309803089344,-31.74165531953612
 5.856452811063438,5.210984539560961,3.0223009302620296,-105.20889001532463,1.0,0.0,-1.1957863270169828,-154.83159928707744,-68.53807896509018,-31.850889927821704
 5.864470193944877,5.2088071681695265,3.0145848767311527,-105.75838603634607,1.0,0.0,-1.2065548382407336,-155.08696006674336,-69.15439703774145,-31.954400914841134
 5.872482100164899,5.206556822640345,3.0068954953335547,-106.31244458011466,1.0,0.0,-1.217338503549034,-155.34297573019006,-69.77149177391624,-32.052087296655365
 5.880488758733223,5.204233136404411,2.9992334418420525,-106.87108109255098,1.0,0.0,-1.2281271682905956,-155.59960584957648,-70.38877795933084,-32.143847807490495
 5.888490415908671,5.2018357428927136,2.991599372029464,-107.43430796278031,1.0,0.0,-1.2389102440215187,-155.8568099000318,-71.00564554534091,-32.229581060613214
 5.896487335432334,5.199364275536247,2.983993941668606,-108.00213439593212,1.0,0.0,-1.2496767088662852,-156.1145472660549,-71.62145968360792,-32.30918571903057
 5.904479798755878,5.196818367766004,2.9764178065322975,-108.57456628563203,1.0,0.0,-1.2604151086217796,-156.37277724792781,-72.23556081264915,-32.38256067617938
 5.912468105264492,5.194197653012976,2.9688716223933547,-109.15160608622512,1.0,0.0,-1.2711135604480497,-156.63145906814293,-72.84726488269204,-32.449605246564175
 5.920452572493924,5.191501764708155,2.961356045024595,-109.73325268543475,1.0,0.0,-1.2817597578878048,-156.89055187784214,-73.45586366114502,-32.51021936629979
